"id","ordinal","naturaleza","categoria","importe","importeFirmado","motivo","fecha","autorId","autor","esInverso","advertencia","efectivoFisicoContado","declaracionSinDuplicacion","evidenciaConciliacion","originalId","inversoId"
"14a7608a-0f83-46ba-96d1-115a3b2781ce","18","RETIRO","CAPITAL","2000.25","-2000.25","E10 navegador inverso","2026-09-18T18:03:42.973Z","1","Administrador","true","Corrección contable; no representa un movimiento físico nuevo.","","","","359ed436-a47a-4c40-8b01-eeb4be83b756",""
"359ed436-a47a-4c40-8b01-eeb4be83b756","17","INGRESO","CAPITAL","2000.25","2000.25","E10 navegador capital","2026-09-18T18:02:07.652Z","1","Administrador","false","","","","","","14a7608a-0f83-46ba-96d1-115a3b2781ce"
"ece91c89-461d-4e48-9baf-3ce0d1a75eb8","16","RETIRO","CAPITAL","23.45","-23.45","sonda canónica retiro exacto","2026-09-18T17:57:38.509Z","1","Administrador","true","Corrección contable; no representa un movimiento físico nuevo.","","","","8b154100-c602-45d8-adc7-43b070cf1111",""
"8b154100-c602-45d8-adc7-43b070cf1111","15","INGRESO","CAPITAL","23.45","23.45","sonda canónica productor retiro","2026-09-18T17:57:38.411Z","1","Administrador","false","","","","","","ece91c89-461d-4e48-9baf-3ce0d1a75eb8"
"da2da05b-90be-4bd2-b914-dfd970dbcbff","14","RETIRO","CAPITAL","123.45","-123.45","sonda canónica inverso capital","2026-09-18T17:57:38.305Z","1","Administrador","true","Corrección contable; no representa un movimiento físico nuevo.","","","","48043376-46bb-4bb4-9667-3402ff0b0c33",""
"48043376-46bb-4bb4-9667-3402ff0b0c33","13","INGRESO","CAPITAL","123.45","123.45","sonda canónica lectores capital","2026-09-18T17:57:37.921Z","1","Administrador","false","","","","","","da2da05b-90be-4bd2-b914-dfd970dbcbff"
"ef6895ea-853e-46a0-b4e6-b5ad3c33a29b","12","RETIRO","SALDO_INICIAL","1000.00","-1000.00","inverso de ingreso permitido bajo cero","2026-09-18T17:42:29.423Z","1","Administrador","true","Corrección contable; no representa un movimiento físico nuevo.","","","","4d84dbc2-2cb4-48f0-a833-2a631f6e242b",""
"37bd3ad3-c668-4027-acbb-e1d651e54930","11","RETIRO","RETIRO","1245.26","-1245.26","drena fixture para probar inverso negativo","2026-09-18T17:42:29.385Z","1","Administrador","false","","","","","",""
"2a93d46e-8928-4374-ab71-1811eeb3a24e","10","RETIRO","CAPITAL","10.00","-10.00","race inverse B","2026-09-18T17:36:46.778Z","1","Administrador","true","Corrección contable; no representa un movimiento físico nuevo.","","","","6095fc2d-4b0b-4476-888a-67c5ad96d26b",""
"61774ee5-4ab0-45f5-a91f-568906844b78","9","RETIRO","RETIRO","5.00","-5.00","mixed barrier withdrawal","2026-09-18T17:36:46.752Z","1","Administrador","false","","","","","",""
"6095fc2d-4b0b-4476-888a-67c5ad96d26b","8","INGRESO","CAPITAL","10.00","10.00","'=1+1 formula probe","2026-09-18T17:36:46.739Z","1","Administrador","false","","","","","","2a93d46e-8928-4374-ab71-1811eeb3a24e"
"2ee70840-d3d6-4a74-a229-330da3cf65de","7","INGRESO","CAPITAL","0.01","0.01","cambio concurrente de versión","2026-09-18T17:36:46.681Z","1","Administrador","false","","","","","",""
"e63c414d-144f-4548-abb6-45757b117022","6","RETIRO","CAPITAL","0.01","-0.01","retira centavo de prueba concurrente","2026-09-18T17:36:46.582Z","1","Administrador","true","Corrección contable; no representa un movimiento físico nuevo.","","","","daa8b112-739c-4307-b0b3-e549567e1142",""
"dcf72338-d9b2-4e6d-b1de-c5c24d8856d5","5","INGRESO","RETIRO","100.10","100.10","corrección exacta del retiro fixture","2026-09-18T17:36:46.511Z","1","Administrador","true","Corrección contable; no representa un movimiento físico nuevo.","","","","df947458-986b-45c7-a452-13cd1328f97e",""
"df947458-986b-45c7-a452-13cd1328f97e","4","RETIRO","RETIRO","100.10","-100.10","retiro fixture","2026-09-18T17:36:46.489Z","1","Administrador","false","","","","","","dcf72338-d9b2-4e6d-b1de-c5c24d8856d5"
"4fb4168c-1d65-49b9-8bee-bf665405ab0e","3","INGRESO","CAPITAL","250.25","250.25","capital fixture","2026-09-18T17:36:46.464Z","1","Administrador","false","","","","","",""
"daa8b112-739c-4307-b0b3-e549567e1142","2","INGRESO","CAPITAL","0.01","0.01","idempotencia concurrente","2026-09-18T17:36:46.440Z","1","Administrador","false","","","","","","e63c414d-144f-4548-abb6-45757b117022"
"4d84dbc2-2cb4-48f0-a833-2a631f6e242b","1","INGRESO","SALDO_INICIAL","1000.00","1000.00","saldo inicial","2026-09-18T17:36:46.125Z","1","Administrador","false","","1000.00","true","Fixture aislado E10: declaración de conciliación, no efectivo operativo.","","ef6895ea-853e-46a0-b4e6-b5ad3c33a29b"
