"cell_id","role","module","action","permission_api_field","question_for_owner"
"TERMINAL:marcar_remate:ver","TERMINAL","marcar_remate","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:marcar_remate:crear","TERMINAL","marcar_remate","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:marcar_remate:editar","TERMINAL","marcar_remate","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:dashboard:crear","TERMINAL","dashboard","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:dashboard:editar","TERMINAL","dashboard","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:dashboard:autorizar","TERMINAL","dashboard","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:pos:editar","TERMINAL","pos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:pos:autorizar","TERMINAL","pos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:entradas:autorizar","TERMINAL","entradas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:movimientos:crear","TERMINAL","movimientos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:movimientos:editar","TERMINAL","movimientos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:movimientos:autorizar","TERMINAL","movimientos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:etiquetas:autorizar","TERMINAL","etiquetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:inventario:crear","TERMINAL","inventario","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:inventario:autorizar","TERMINAL","inventario","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:productos:autorizar","TERMINAL","productos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:precios:crear","TERMINAL","precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:precios:autorizar","TERMINAL","precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:ajustes:ver","TERMINAL","ajustes","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
