"cell_id","role","module","action","api_permission_field","database_permission_field","status","owner_question"
"TERMINAL:marcar_remate:ver","TERMINAL","marcar_remate","ver","puedeVer","puede_ver","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:marcar_remate:crear","TERMINAL","marcar_remate","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:marcar_remate:editar","TERMINAL","marcar_remate","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:dashboard:crear","TERMINAL","dashboard","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:dashboard:editar","TERMINAL","dashboard","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:dashboard:autorizar","TERMINAL","dashboard","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:pos:editar","TERMINAL","pos","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:pos:autorizar","TERMINAL","pos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:entradas:autorizar","TERMINAL","entradas","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:movimientos:crear","TERMINAL","movimientos","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:movimientos:editar","TERMINAL","movimientos","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:movimientos:autorizar","TERMINAL","movimientos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
